"unit_id","unit_code","unit_name_ar","unit_name_en","deleted","insert_date","insert_uid"
"1","1","One Unit","One Unit","1","2/6/2014 8:04:28 PM","1"
"2","2","لبوسة","SUPP","1","2/6/2014 8:04:28 PM","1"
"3","3","بخاخ","SPRAY","1","2/6/2014 8:04:28 PM","1"
"4","4","كيس","PACKET","1","2/6/2014 8:04:28 PM","1"
"5","5","علبة","Box","1","2/6/2014 8:04:28 PM","1"
"6","6","ميلليلتر","Mililiter","1","2/6/2014 8:04:28 PM","1"
"7","7","وحدة","Unit","1","2/6/2014 8:04:28 PM","1"
"8","8","كرتونة","Cartoon","1","2/6/2014 8:04:28 PM","1"
"9","9","لزقة","Plaster","1","2/6/2014 8:04:28 PM","1"
"10","10","شريط","Strip","1","2/6/2014 8:04:28 PM","1"
"11","11","قرص","Tablet","1","2/6/2014 8:04:28 PM","1"
"12","12","زجاجة","Bottle","1","2/6/2014 8:04:28 PM","1"
"13","13","امبول","Amp","1","1/3/2016 10:52:02 PM","1"
"14","14","حقنة","Vial","1","2/6/2014 8:04:28 PM","1"
"15","15","جرام","Gram","1","2/6/2014 8:04:28 PM","1"
"16","16","مليجرام","Millegram","1","2/6/2014 8:04:28 PM","1"
"17","17","انبوبة","Tube","1","2/6/2014 8:04:28 PM","1"
"18","18","شكاكة","needle","1","2/6/2014 8:04:28 PM","1"
"19","19","برطمان","","1","2/6/2014 8:04:28 PM","1"
"20","20","درج","","1","2/6/2014 8:04:28 PM","1"
"21","21","قطعة","","1","3/6/2015 9:11:16 PM","1"
"22","22","كيس","","1","3/6/2015 9:11:21 PM","1"
"23","23","زجاجة","","1","3/26/2014 9:58:07 AM","1"
"24","24","انبوبة","","1","3/26/2014 9:58:07 AM","1"
"25","25","برطمان","","0","4/2/2015 9:23:50 AM","1"
"26","26","علبة","","1","2/21/2015 1:18:29 PM","1"
"27","27","شرنكة","","1","2/21/2015 1:22:20 PM","1"
"28","28","سبراى للشعر","","0","4/2/2015 9:23:37 AM","1"
"29","29","بخاخ","","0","4/2/2015 9:23:41 AM","1"
"30","30","سبراى","","0","4/2/2015 9:23:44 AM","1"
"31","31","رول اون","","0","4/2/2015 9:23:28 AM","1"
"32","32","باكي","","0","4/1/2015 10:39:59 AM","1"
"33","33","باكيت","","1","1/3/2016 11:14:02 PM","1"
"34","34","فارغ 2","","0","4/2/2015 9:23:59 AM","1"
"35","35","فارغ 1","","0","4/2/2015 9:24:03 AM","1"
"36","36","بالة","","1","5/15/2014 5:11:03 PM","1"
"37","37","شنطة","","0","7/13/2015 4:58:18 PM","1"
"38","38","كرتونة","","1","3/6/2015 9:11:54 PM","1"
"39","39","حصيرة","","1","6/5/2014 8:26:55 PM","1"
"40","40","شريط","","1","3/6/2015 9:11:48 PM","1"
"41","41","ستاند","","1","3/6/2015 9:11:42 PM","1"
"42","42","قلم","","1","5/30/2015 3:03:56 PM","1"
"43","43","د/عبدالعزيز","","1","8/30/2016 3:54:42 PM","1"
"44","44","عرض فيروس","","1","10/9/2016 7:49:03 PM","1"
"45","45","عرض","","1","11/6/2016 6:55:47 PM","1"
"46","46","سعر قديم","","1","11/6/2016 6:53:47 PM","1"
