"ver_id","ver_code","insert_date","insert_uid"
"1","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"2","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"3","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"4","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"5","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"6","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"7","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"8","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"9","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"10","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"11","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"12","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"13","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"14","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"15","stock_ver1.5.9.50","7/24/2023 2:04:48 PM","1"
"16","stock_phy_ver1.8.0.0","2/1/2024 3:01:23 PM","1"
